country,stateProvince,county,domainName,domainID,siteName,siteID,plotType,subtype,subtypeSpecification,plotID,Plot_ID,plotSize,plotDimensions,referencePointPosition,decimalLatitude,decimalLongitude,geodeticDatum,utmZone,easting,northing,coordinateUncertainty,elevation,elevationUncertainty,minimumElevation,maximumElevation,slopeGradient,slopeAspect,nlcdClass,,inclusionProbability,coordinateSource,recordedDate,filteredPositions,plotPdop,plotHdop,applicableModules
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,tower,phenology,primary,OSBS_045,OSBS045,40000,200m x 200m,C,29.689683,-81.990336,WGS84,17N,404186.167,3284810.678,0.3,46.61,,42.56,46.61,1,90,,,,GIS,,,,,phe
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,tower,phenology,phenocam,OSBS_046,OSBS046,40000,200m x 200m,C,29.691682,-81.993401,WGS84,17N,403891.531,3285034.703,0.3,40.95,,40.95,47.06,5,343,,,,GIS,,,,,phe
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,distributed,birdGrid,ninePoints,OSBS_047,OSBS047,250000,500m x 500m,B2,29.678061,-82.023641,WGS84,17N,400952.404,3283550.855,0.1,26.94,0.11,26.94,33.56,0,0,emergentHerbaceousWetlands,,,GeoXH 6000,20130104,125,3.6,1.4,brd
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,distributed,basePlot,,OSBS_048,OSBS048,1600,40m x 40m,41,29.679299,-81.946352,WGS84,17N,408432.349,3283624.435,0.3,34.62,,34.08,40.09,0,0,evergreenForest,,,GIS,,,,,cdw|dhp|div|hbp|vst
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,distributed,basePlot,,OSBS_049,OSBS049,1600,40m x 40m,41,29.686229,-81.964097,WGS84,17N,406721.679,3284406.469,0.1,24.07,0.1,24.01,24.5,0,0,emergentHerbaceousWetlands,,,GeoXH 6000,,375,2.3,1.1,div
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,distributed,basePlot,,OSBS_050,OSBS050,1600,40m x 40m,41,29.68969,-82.005389,WGS84,17N,402729.729,3284824.049,0.1,29.43,0.15,28.09,31.33,1,281,emergentHerbaceousWetlands,,,GeoXH 6000,20130112,375,2.2,1.2,div
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,distributed,basePlot,,OSBS_051,OSBS051,1600,40m x 40m,41,29.67776,-82.007709,WGS84,17N,402493.755,3283504.027,0.1,24.21,0.13,23.28,28.09,0,0,emergentHerbaceousWetlands,,,GeoXH 6000,20130112,300,2.1,1.1,cdw|dhp|div|hbp|vst
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,distributed,mosquitoPoint,,OSBS_052,OSBS052,0,0m,41,29.678667,-81.955031,WGS84,17N,407591.973,3283561.241,0.15,44.13,0.22,44.13,44.13,2,76,evergreenForest,,,GeoXH 6000,20130113,302,3.2,1.5,mpt|mos
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,distributed,mosquitoPoint,,OSBS_053,OSBS053,0,0m,41,29.678605,-81.962459,WGS84,17N,406873.168,3283560.377,0.57,48.08,0.79,48.08,48.08,1,79,evergreenForest,,,GeoXH 6000,20130113,302,5.6,2.2,mpt|mos
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,distributed,mosquitoPoint,,OSBS_054,OSBS054,0,0m,41,29.68552,-81.939573,WGS84,17N,409093.877,3284308.358,0.44,33.3,0.68,33.3,33.3,5,273,evergreenForest,,,GeoXH 6000,20130113,252,4.3,1.9,mpt|mos
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,distributed,mosquitoPoint,,OSBS_055,OSBS055,0,0m,41,29.703835,-81.954643,WGS84,17N,407652.528,3286349.801,0.35,31.97,0.66,31.97,31.97,3,141,evergreenForest,,,GeoXH 6000,20130113,301,5.1,1.5,mpt|mos
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,distributed,mosquitoPoint,,OSBS_056,OSBS056,0,0m,41,29.707942,-81.985398,WGS84,17N,404681.18,3286829.943,0.19,31.72,0.89,31.72,31.72,2,67,evergreenForest,,,GeoXH 6000,20130113,138,6.2,1.7,mpt|mos
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,distributed,mosquitoPoint,,OSBS_057,OSBS057,0,0m,41,29.725194,-81.987658,WGS84,17N,404478.898,3288743.526,0.89,35.27,1.24,35.27,35.27,2,135,evergreenForest,,,GeoXH 6000,20130113,301,4.7,2.8,mpt|mos
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,distributed,mosquitoPoint,,OSBS_058,OSBS058,0,0m,41,29.700742,-82.009505,WGS84,17N,402342.144,3286052.231,0.34,35.94,0.44,35.94,35.94,4,337,woodyWetlands,,,GeoXH 6000,20130113,304,5.1,2.5,mpt|mos
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,distributed,mosquitoPoint,,OSBS_059,OSBS059,0,0m,41,29.686937,-81.962158,WGS84,17N,406909.978,3284483.424,0.1,24.53,0.1,24.53,24.53,2,288,emergentHerbaceousWetlands,,,GeoXH 6000,20130113,181,1.9,1.1,mpt|mos
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,distributed,mosquitoPoint,,OSBS_060,OSBS060,0,0m,41,29.68469,-82.017693,WGS84,17N,401534.449,3284280.387,0.66,34.42,0.69,34.42,34.42,2,315,woodyWetlands,,,GeoXH 6000,20130113,304,6.7,4.3,mpt|mos
unitedStates,FL,Putnam,Southeast,D03,Ordway-Swisher Biological Station,OSBS,distributed,mosquitoPoint,,OSBS_061,OSBS061,0,0m,41,29.685885,-81.958591,WGS84,17N,407254.11,3284363.978,0.1,24.11,0.1,24.11,24.11,2,45,emergentHerbaceousWetlands,,,GeoXH 6000,20130113,182,2.3,1.2,mpt|mos
